external_id,subject,strand,topic,essential_question_type,variant_type,exam_type,year_level,difficulty,marks,time_limit_seconds,answer_format,question_text,option_a,option_b,option_c,option_d,option_e,option_asset_refs_json,option_explanations_json,correct_answer,worked_solution,stimulus_id,stimulus_title,stimulus_type,stimulus_text,stimulus_asset_refs,question_asset_refs,solution_asset_refs,input_method,display_mode,answer_validation_json,rubric_json,skill_tags,concept_tags,tags,source_name,source_paper,source_section,source_question_number,license_notes,asset_generation_prompt,asset_alt_text,asset_spec_json,asset_status,status,domain_code,subtopic_code,skill_code,pattern_key,question_family,stimulus_format,stimulus_genre,asset_render_method,writing_form,writing_purpose,writing_prompt_stimulus,asset_type,asset_required
ts-abstract-spatial-1-011,Thinking Skills,Abstract and Spatial Reasoning,Matrices and visual analogies,,,Selective,6,4,1,90,single_choice,In each row the third figure is built from the first two. Work out the rule and choose the figure for the covered cell.,,,,,,"{""A"":""asset://question-assets/generated/ts-abstract-spatial-1-011-a.svg"",""B"":""asset://question-assets/generated/ts-abstract-spatial-1-011-b.svg"",""C"":""asset://question-assets/generated/ts-abstract-spatial-1-011-c.svg"",""D"":""asset://question-assets/generated/ts-abstract-spatial-1-011-d.svg""}","{""A"":""This swaps the shapes: the outer should come from the middle cell (a triangle) and the inner from the first cell (a square)."",""B"":""The outer triangle is right, but the inner shape comes from the first cell in the row (a square), not a circle."",""C"":""Correct — the third cell takes the middle cell’s shape (triangle) on the outside and the first cell’s shape (square) on the inside."",""D"":""The inner square is right, but the outer shape should be the middle cell’s triangle, not a circle.""}",C,"In each row the third figure is the middle shape drawn on the outside with the first shape placed inside it. The bottom row has a square then a triangle, so the answer is a triangle containing a square.",,,,,,asset://question-assets/generated/ts-abstract-spatial-1-011-main.svg,,,,,,combination-matrix,nest-first-in-second,"thinking-skills, abstract-reasoning, matrix",,,,,Original AI-generated content modelled on the style of NSW Selective practice papers; no text copied or paraphrased from any published material.,,"A 3 by 3 grid. Row 1: circle, square, then a square with a small circle inside. Row 2: triangle, circle, then a circle with a small triangle inside. Row 3: square, triangle, then a covered cell.","{""type"":""matrix_pattern"",""rows"":3,""cols"":3,""cell_size"":84,""grid"":[[{""glyph"":{""shape"":""circle"",""scale"":0.7,""fill"":""none""}},{""glyph"":{""shape"":""square"",""scale"":0.7,""fill"":""none""}},{""glyphs"":[{""shape"":""square"",""scale"":0.95,""fill"":""none""},{""shape"":""circle"",""scale"":0.4,""fill"":""none""}]}],[{""glyph"":{""shape"":""triangle"",""scale"":0.7,""fill"":""none""}},{""glyph"":{""shape"":""circle"",""scale"":0.7,""fill"":""none""}},{""glyphs"":[{""shape"":""circle"",""scale"":0.95,""fill"":""none""},{""shape"":""triangle"",""scale"":0.4,""fill"":""none""}]}],[{""glyph"":{""shape"":""square"",""scale"":0.7,""fill"":""none""}},{""glyph"":{""shape"":""triangle"",""scale"":0.7,""fill"":""none""}},{""question"":true}]]}",generated,draft,abstract_spatial_reasoning,matrices_and_visual_analogies,,,standard_multiple_choice,matrix,,deterministic_svg,,,,svg,
ts-abstract-spatial-1-012,Thinking Skills,Abstract and Spatial Reasoning,Odd one out and classification,,,Selective,6,2,1,60,single_choice,Three of these figures are the same as each other. Which one is the odd one out?,,,,,,"{""A"":""asset://question-assets/generated/ts-abstract-spatial-1-012-a.svg"",""B"":""asset://question-assets/generated/ts-abstract-spatial-1-012-b.svg"",""C"":""asset://question-assets/generated/ts-abstract-spatial-1-012-c.svg"",""D"":""asset://question-assets/generated/ts-abstract-spatial-1-012-d.svg""}","{""A"":""This square has its dot in the centre, matching two of the others."",""B"":""This square also has a centre dot."",""C"":""This square also has a centre dot."",""D"":""Correct — three squares have the dot in the centre; only this one has the dot in a corner, so it is the odd one out.""}",D,"Compare where the dot sits. Three squares have the dot in the middle; one has it in the top-left corner. The corner one does not match the group, so it is the odd one out.",,,,,,,,,,,,odd-one-out,position-of-mark,"thinking-skills, abstract-reasoning, classification",,,,,Original AI-generated content modelled on the style of NSW Selective practice papers; no text copied or paraphrased from any published material.,,"Four squares, each with a single dot. Three have the dot in the centre; one has it in a corner.",,generated,draft,abstract_spatial_reasoning,odd_one_out_and_classification,,,standard_multiple_choice,two_d_shape,,deterministic_svg,,,,svg,
ts-abstract-spatial-1-013,Thinking Skills,Abstract and Spatial Reasoning,Odd one out and classification,,,Selective,6,3,1,75,single_choice,Three of these L-shapes are the same shape simply turned to different angles. One is a mirror image of it. Which is the odd one out?,,,,,,"{""A"":""asset://question-assets/generated/ts-abstract-spatial-1-013-a.svg"",""B"":""asset://question-assets/generated/ts-abstract-spatial-1-013-b.svg"",""C"":""asset://question-assets/generated/ts-abstract-spatial-1-013-c.svg"",""D"":""asset://question-assets/generated/ts-abstract-spatial-1-013-d.svg""}","{""A"":""Correct — the other three are turns of the same L, but this one is a mirror image, which no amount of turning can produce."",""B"":""This is the L in its upright position — a rotation of the group."",""C"":""This is the L turned a quarter-turn — still a rotation of the group."",""D"":""This is the L turned three-quarters — still a rotation of the group.""}",A,"Three of the figures are the same L-shape turned to different angles. The odd one is a mirror image: its foot points the opposite way, and turning it can never match the others.",,,,,,,,,,,,odd-one-out,rotation-vs-reflection,"thinking-skills, spatial-reasoning, classification",,,,,Original AI-generated content modelled on the style of NSW Selective practice papers; no text copied or paraphrased from any published material.,,Four L-shaped blocks of four squares at different orientations; one is a mirror image of the other three.,,generated,draft,abstract_spatial_reasoning,odd_one_out_and_classification,,,standard_multiple_choice,two_d_shape,,deterministic_svg,,,,svg,
ts-abstract-spatial-1-014,Thinking Skills,Abstract and Spatial Reasoning,Rotation and reflection,,,Selective,6,3,1,75,single_choice,The L-shape on the left is turned a quarter-turn (90°) clockwise. Which option shows the result?,,,,,,"{""A"":""asset://question-assets/generated/ts-abstract-spatial-1-014-a.svg"",""B"":""asset://question-assets/generated/ts-abstract-spatial-1-014-b.svg"",""C"":""asset://question-assets/generated/ts-abstract-spatial-1-014-c.svg"",""D"":""asset://question-assets/generated/ts-abstract-spatial-1-014-d.svg""}","{""A"":""This is a quarter-turn the wrong way (anticlockwise)."",""B"":""Correct — this is the L turned a quarter-turn clockwise."",""C"":""This is a mirror image, not a turn; rotating never flips the shape’s handedness."",""D"":""This is a half-turn, not a quarter-turn.""}",B,"A quarter-turn clockwise turns the upright L onto its side. Option A is turned the wrong way, C is a mirror image (a flip, not a turn), and D is a half-turn. Only B is a quarter-turn clockwise.",,,,,,asset://question-assets/generated/ts-abstract-spatial-1-014-main.svg,,,,,,rotation,quarter-turn-clockwise,"thinking-skills, spatial-reasoning, rotation",,,,,Original AI-generated content modelled on the style of NSW Selective practice papers; no text copied or paraphrased from any published material.,,"An upright L-shaped block of four squares with the foot at the bottom right, to be turned a quarter-turn clockwise.","{""type"":""rotation"",""figure"":""l_tetromino"",""width"":170,""height"":180,""stimulus"":true,""rotation_hint"":""rotate 90° clockwise""}",generated,draft,abstract_spatial_reasoning,rotation_and_reflection,,,standard_multiple_choice,two_d_shape,,deterministic_svg,,,,svg,
ts-abstract-spatial-1-015,Thinking Skills,Abstract and Spatial Reasoning,Rotation and reflection,,,Selective,6,4,1,90,single_choice,The letter P is reflected in the vertical mirror line shown beside it. Which option shows the correct mirror image?,,,,,,"{""A"":""asset://question-assets/generated/ts-abstract-spatial-1-015-a.svg"",""B"":""asset://question-assets/generated/ts-abstract-spatial-1-015-b.svg"",""C"":""asset://question-assets/generated/ts-abstract-spatial-1-015-c.svg"",""D"":""asset://question-assets/generated/ts-abstract-spatial-1-015-d.svg""}","{""A"":""Turning the letter upside-down is a rotation, not a reflection; a mirror flips left-to-right without turning the letter over."",""B"":""This is the letter unchanged; a P looks different from its mirror image."",""C"":""This is flipped top-to-bottom; a vertical mirror flips left-to-right instead."",""D"":""Correct — a vertical mirror flips the letter left-to-right, so the bowl of the P moves to the other side while the letter stays upright.""}",D,"A vertical mirror flips a shape left-to-right but keeps top and bottom the same. The bowl of the P moves to the left and the letter stays upright. Option A turns it upside-down, C flips it top-to-bottom, and B leaves it unchanged; only D is the correct left-to-right mirror image.",,,,,,asset://question-assets/generated/ts-abstract-spatial-1-015-main.svg,,,,,,reflection,vertical-mirror,"thinking-skills, spatial-reasoning, reflection",,,,,Original AI-generated content modelled on the style of NSW Selective practice papers; no text copied or paraphrased from any published material.,,A block capital letter P beside a vertical dashed mirror line on its right.,"{""type"":""reflection"",""figure"":""block_letter_P"",""width"":180,""height"":175,""stimulus"":true,""mirror"":""vertical""}",generated,draft,abstract_spatial_reasoning,rotation_and_reflection,,,standard_multiple_choice,two_d_shape,,deterministic_svg,,,,svg,
ts-abstract-spatial-1-016,Thinking Skills,Abstract and Spatial Reasoning,Paper folding,,,Selective,6,3,1,75,single_choice,"A square sheet is folded bottom-up so the bottom half lies over the top half. A single hole is punched near the top-left of the folded sheet. When the sheet is unfolded, where are the holes?",,,,,,"{""A"":""asset://question-assets/generated/ts-abstract-spatial-1-016-a.svg"",""B"":""asset://question-assets/generated/ts-abstract-spatial-1-016-b.svg"",""C"":""asset://question-assets/generated/ts-abstract-spatial-1-016-c.svg"",""D"":""asset://question-assets/generated/ts-abstract-spatial-1-016-d.svg""}","{""A"":""Two holes side by side would happen if the fold were left-to-right; here the fold is bottom-to-top, so the holes are one above the other."",""B"":""A single hole forgets that the punch goes through both layers, making two holes when unfolded."",""C"":""Correct — the fold is bottom-to-top, so the crease is a horizontal line across the middle. The hole appears at the same left-right position on both halves, one above the line and one below it."",""D"":""The holes are mirrored top-to-bottom correctly, but on the wrong side — the punch was near the left, so the holes stay near the left.""}",C,"Folding bottom-to-top puts the crease along the horizontal middle line. A punch goes through both layers, so unfolding gives two holes at the same left-right position, one above the middle line and one the same distance below it. The punch was near the left, so both holes are near the left.",,,,,,asset://question-assets/generated/ts-abstract-spatial-1-016-main.svg,,,,,,paper-folding,reflect-across-crease,"thinking-skills, spatial-reasoning, folding",,,,,Original AI-generated content modelled on the style of NSW Selective practice papers; no text copied or paraphrased from any published material.,,A square sheet; then the sheet folded bottom-up into a wide half-height rectangle with a crease along the top edge; then the folded sheet with a hole punched near its top-left.,"{""type"":""paper_folding"",""fold"":""horizontal""}",generated,draft,abstract_spatial_reasoning,paper_folding,,,standard_multiple_choice,two_d_shape,,deterministic_svg,,,,svg,
ts-abstract-spatial-1-017,Thinking Skills,Abstract and Spatial Reasoning,2D spatial assembly,,,Selective,6,3,1,75,single_choice,"The target is a rectangle 3 squares wide and 2 squares tall. Which pair of pieces fits together exactly to fill it, with no gaps or overlaps?",,,,,,"{""A"":""asset://question-assets/generated/ts-abstract-spatial-1-017-a.svg"",""B"":""asset://question-assets/generated/ts-abstract-spatial-1-017-b.svg"",""C"":""asset://question-assets/generated/ts-abstract-spatial-1-017-c.svg"",""D"":""asset://question-assets/generated/ts-abstract-spatial-1-017-d.svg""}","{""A"":""Correct — the 2×2 square fills a 2×2 block and the 1×2 piece fills the remaining strip, exactly covering the rectangle (4 + 2 = 6 squares)."",""B"":""Two 2×2 squares cover 8 squares, but the rectangle holds only 6, so they cannot fit."",""C"":""These cover 6 squares in total, but the L-shaped piece cannot fill the straight strip left by the 3×1 piece, so a gap remains."",""D"":""The square and the single unit cover only 5 squares, one short of the 6 needed.""}",A,"The rectangle is 3 wide and 2 tall, so it holds 6 unit squares. The 2×2 square covers 4 of them, leaving a 1×2 strip that the 1×2 piece fills exactly. The other pairs cover the wrong number of squares or leave a gap the pieces cannot fill.",,,,,,asset://question-assets/generated/ts-abstract-spatial-1-017-main.svg,,,,,,tiling,area-and-fit,"thinking-skills, spatial-reasoning, assembly",,,,,Original AI-generated content modelled on the style of NSW Selective practice papers; no text copied or paraphrased from any published material.,,A dashed rectangle three squares wide and two squares tall to be filled by two pieces.,"{""type"":""spatial_assembly"",""stimulus"":true,""width"":200,""height"":140,""target"":{""rect"":[90,60]},""caption"":""Fill this 3×2 rectangle with two pieces""}",generated,draft,abstract_spatial_reasoning,two_d_spatial_assembly,,,standard_multiple_choice,two_d_shape,,deterministic_svg,,,,svg,
ts-abstract-spatial-1-018,Thinking Skills,Abstract and Spatial Reasoning,2D spatial assembly,,,Selective,6,4,1,90,single_choice,Which piece exactly fills the grey gap shown? Pieces may not be turned or flipped.,,,,,,"{""A"":""asset://question-assets/generated/ts-abstract-spatial-1-018-a.svg"",""B"":""asset://question-assets/generated/ts-abstract-spatial-1-018-b.svg"",""C"":""asset://question-assets/generated/ts-abstract-spatial-1-018-c.svg"",""D"":""asset://question-assets/generated/ts-abstract-spatial-1-018-d.svg""}","{""A"":""This piece is a straight line of three squares; the gap has a bend, so it does not match."",""B"":""Correct — this piece has the same L-shape in the same orientation as the gap, so it fills it exactly."",""C"":""This L-shape is flipped; since pieces may not be turned or flipped, it does not fit."",""D"":""This 2×2 square covers four squares, but the gap is an L of three squares, so it is too big and the wrong shape.""}",B,"The gap is an L of three squares — two along the top and one below the right-hand square. Only one piece has exactly this shape in this orientation. The straight piece has no bend, the mirrored L would need flipping (not allowed), and the square is too big.",,,,,,asset://question-assets/generated/ts-abstract-spatial-1-018-main.svg,,,,,,piece-fit,shape-and-orientation,"thinking-skills, spatial-reasoning, assembly",,,,,Original AI-generated content modelled on the style of NSW Selective practice papers; no text copied or paraphrased from any published material.,,A dashed L-shaped gap made of three squares: two along the top and one below the right-hand square.,"{""type"":""spatial_assembly"",""stimulus"":true,""width"":200,""height"":150,""target"":{""points"":[[70,40],[130,40],[130,100],[100,100],[100,70],[70,70]]},""caption"":""Which piece exactly fills this shape? (no turning or flipping)""}",generated,draft,abstract_spatial_reasoning,two_d_spatial_assembly,,,standard_multiple_choice,two_d_shape,,deterministic_svg,,,,svg,
ts-abstract-spatial-1-019,Thinking Skills,Abstract and Spatial Reasoning,3D views and nets,,,Selective,6,3,1,75,single_choice,Each option is a flat arrangement of six squares. Which one will NOT fold up to make a cube?,,,,,,"{""A"":""asset://question-assets/generated/ts-abstract-spatial-1-019-a.svg"",""B"":""asset://question-assets/generated/ts-abstract-spatial-1-019-b.svg"",""C"":""asset://question-assets/generated/ts-abstract-spatial-1-019-c.svg"",""D"":""asset://question-assets/generated/ts-abstract-spatial-1-019-d.svg""}","{""A"":""A valid net — folding the row of four into a band and closing the top and bottom makes a cube."",""B"":""This staircase net folds into a cube, each pair of squares wrapping around."",""C"":""Correct — this solid 2×3 block cannot fold into a cube; as it folds, faces land on top of each other. It is the one that does NOT fold."",""D"":""This cross-shaped net folds into a cube, the four middle squares forming the sides.""}",C,"A cube net must fold so all six squares become the six faces without overlapping. The solid 2×3 block cannot — folding it makes faces overlap. The other three are known cube nets (a row of four with two flaps, a staircase, and a cross).",,,,,,,,,,,,cube-nets,net-folds-to-solid,"thinking-skills, spatial-reasoning, nets",,,,,Original AI-generated content modelled on the style of NSW Selective practice papers; no text copied or paraphrased from any published material.,,"Four flat arrangements of six squares, three of which fold into a cube and one of which does not.",,generated,draft,abstract_spatial_reasoning,three_d_views_and_nets,,,standard_multiple_choice,net,,deterministic_svg,,,,svg,
ts-abstract-spatial-1-020,Thinking Skills,Abstract and Spatial Reasoning,3D views and nets,,,Selective,6,5,1,120,single_choice,"A solid is built from cubes. Looking straight down (top view) you see a straight row of three squares. Looking from the front you see stacks 2, 1 and 3 cubes tall from left to right. Which solid matches both views?",,,,,,"{""A"":""asset://question-assets/generated/ts-abstract-spatial-1-020-a.svg"",""B"":""asset://question-assets/generated/ts-abstract-spatial-1-020-b.svg"",""C"":""asset://question-assets/generated/ts-abstract-spatial-1-020-c.svg"",""D"":""asset://question-assets/generated/ts-abstract-spatial-1-020-d.svg""}","{""A"":""The stacks are 3, 1, 2 from left to right; the front view shows 2, 1, 3, so the tall stack is on the wrong end."",""B"":""This is a flat row of single cubes; the front view shows stacks of different heights, not all 1."",""C"":""The heights are right, but the stacks are not in a straight line, so the top view would be bent, not a straight row."",""D"":""Correct — a straight row of three stacks 2, 1 and 3 cubes tall matches both the top view and the front view.""}",D,"The top view is a straight row of three, so the three stacks sit in a line. The front view shows the stacks are 2, 1 and 3 cubes tall from left to right. Only the solid that is a straight row with heights 2, 1, 3 matches both views.",,,,,,asset://question-assets/generated/ts-abstract-spatial-1-020-main.svg,,,,,,3d-views,top-and-front-to-solid,"thinking-skills, spatial-reasoning, 3d-views",,,,,Original AI-generated content modelled on the style of NSW Selective practice papers; no text copied or paraphrased from any published material.,,"Reference views: the top view is a straight row of three unit squares; the front view shows three columns of squares that are 2, 1 and 3 squares tall from left to right.","{""type"":""isometric_3d_views"",""stimulus"":true,""top_view"":{""squares"":[[0,0],[1,0],[2,0]]},""front_view"":{""squares"":[[0,0],[0,1],[1,0],[2,0],[2,1],[2,2]]}}",generated,draft,abstract_spatial_reasoning,three_d_views_and_nets,,,standard_multiple_choice,three_d_shape,,deterministic_svg,,,,svg,
