subject,strand,topic,essential_question_type,description,common_trap,difficulty_min,difficulty_max,recommended_answer_format,assets_commonly_needed
Reading,Prose Comprehension,Narrative & Extracts,Evidence matching,Tests selecting the quotation or line that best supports a given statement.,Students pick a quote on the same topic that does not actually prove the statement.,2,4,single_choice,false
Reading,Poetry,Poetry,Poetry imagery,Tests interpreting the pictures a poem creates through sensory language.,Students read figurative lines literally and choose a surface-level meaning.,3,5,single_choice,false
Reading,Poetry,Poetry,Poetry tone,Tests identifying the speaker's mood or attitude across a poem or stanza.,Students judge tone from one striking word instead of the poem as a whole.,3,5,single_choice,false
Reading,Poetry,Poetry,Symbolism,Tests recognising when an object or image in a poem stands for a bigger idea.,Students choose the literal object rather than the idea it represents.,3,5,single_choice,false
Reading,Multiple Texts,Paired Extracts,Paired extract comparison,Tests comparing ideas or attitudes or techniques across two related extracts.,Students answer correctly about one text but ignore what the other text says.,3,5,single_choice,false
Reading,Factual Texts,Information Texts,Information text interpretation,Tests locating and interpreting information in factual texts such as articles and notices.,Students stop at the first matching keyword instead of reading the full condition or exception.,2,4,single_choice,false
Reading,Cloze,Cloze Passage,Cloze passage grammar,Tests choosing the word or phrase that fits the grammar of a gap in a passage.,Students pick a word that fits the sentence alone but breaks tense or agreement with the surrounding text.,2,4,single_choice,false
Reading,Cloze,Cloze Passage,Cloze passage vocabulary,Tests choosing the word that best fits the meaning and register of a gap in a passage.,Students choose a near-synonym that clashes with the tone or collocations around the gap.,2,5,single_choice,false
Mathematical Reasoning,Number,Arithmetic,Arithmetic operations,Tests accurate addition subtraction multiplication and division with whole numbers.,Students misapply order of operations or make regrouping errors under time pressure.,1,3,single_choice,false
Mathematical Reasoning,Number,Arithmetic,Place value,Tests understanding the value of digits and comparing or rounding large numbers.,Students confuse the digit itself with its value in that position.,1,3,single_choice,false
Mathematical Reasoning,Number,Arithmetic,Factors and multiples,Tests finding factors multiples and using highest common factor or lowest common multiple.,Students mix up factors with multiples or forget that 1 and the number itself are factors.,1,4,single_choice,false
Mathematical Reasoning,Number,Arithmetic,Remainders,Tests division problems where the remainder carries meaning such as leftover items or cycles.,Students round the quotient instead of interpreting what the remainder means in context.,2,4,single_choice,false
Mathematical Reasoning,Number,Fractions & Decimals,Fractions,Tests comparing simplifying and operating with fractions of numbers and quantities.,Students add numerators and denominators separately instead of finding a common denominator.,2,5,single_choice,false
Mathematical Reasoning,Number,Fractions & Decimals,Decimals,Tests ordering rounding and calculating with decimal numbers.,Students judge size by the number of digits so they think 0.25 is greater than 0.5.,2,4,single_choice,false
Mathematical Reasoning,Number,Fractions & Decimals,Percentages,Tests finding percentages of quantities and converting between fractions decimals and percentages.,Students apply the percentage to the wrong base amount especially after an increase or discount.,2,5,single_choice,false
Mathematical Reasoning,Number,Ratio & Rates,Ratio and proportion,Tests sharing quantities in a ratio and scaling recipes maps and mixtures.,Students divide by the number of ratio parts incorrectly or attach shares to the wrong person.,2,5,single_choice,false
Mathematical Reasoning,Number,Ratio & Rates,Rates,Tests reasoning with speed price per unit and other quantities compared per one unit.,Students divide the two quantities the wrong way round and get the inverted rate.,3,5,single_choice,false
Mathematical Reasoning,Measurement,Time,Time,Tests reading clocks and calculating durations and start or finish times.,Students subtract times as if there were 100 minutes in an hour.,1,4,single_choice,false
Mathematical Reasoning,Measurement,Time,Timetables,Tests reading transport or event timetables to find durations connections and best options.,Students read the wrong row or column or ignore that a service does not run at the needed time.,2,4,single_choice,false
Mathematical Reasoning,Measurement,Money,Money,Tests calculating totals change discounts and best-buy comparisons with money.,Students compare prices without converting to the same quantity or unit first.,1,4,single_choice,false
Mathematical Reasoning,Measurement,Units & Length,Unit conversion,Tests converting between metric units of length mass and capacity.,Students multiply when they should divide because they forget which unit is larger.,2,4,single_choice,false
Mathematical Reasoning,Measurement,Units & Length,Length,Tests measuring estimating and calculating with lengths and distances.,Students mix units mid-calculation such as adding metres to centimetres directly.,1,3,single_choice,false
Mathematical Reasoning,Measurement,Area & Perimeter,Area,Tests finding areas of rectangles triangles and composite shapes.,Students confuse area with perimeter or forget to split a composite shape before calculating.,2,4,single_choice,false
Mathematical Reasoning,Measurement,Area & Perimeter,Perimeter,Tests finding the distance around straight-sided shapes including composite ones.,Students leave out hidden or unlabelled sides of an L-shaped figure.,2,4,single_choice,false
Mathematical Reasoning,Measurement,Volume,Volume,Tests finding volume and capacity of rectangular prisms and counting unit cubes.,Students count only the visible cubes in a diagram and miss the hidden ones.,2,4,single_choice,false
Mathematical Reasoning,Geometry,Angles,Angles,Tests estimating measuring and calculating angles on lines and inside shapes.,Students assume a diagram is drawn to scale instead of using angle rules.,2,4,single_choice,false
Mathematical Reasoning,Geometry,Symmetry & Transformations,Symmetry,Tests identifying lines of symmetry and completing symmetrical figures.,Students count rotational matches as extra lines of symmetry.,1,3,single_choice,false
Mathematical Reasoning,Geometry,Symmetry & Transformations,Transformations,Tests recognising and applying translations reflections and rotations of shapes.,Students reflect a shape across the wrong axis or confuse a rotation with a reflection.,2,4,single_choice,false
Mathematical Reasoning,Geometry,Coordinates,Coordinates,Tests plotting and reading points on a grid and reasoning about positions.,Students swap the across and up values and plot the reversed point.,2,4,single_choice,false
Mathematical Reasoning,Patterns & Algebra,Patterns,Patterns and sequences,Tests continuing number or shape patterns and finding a rule for later terms.,Students find the step between terms but extend by counting one term short.,2,5,single_choice,false
Mathematical Reasoning,Patterns & Algebra,Algebra,Algebraic reasoning,Tests reasoning about relationships between unknown quantities described in words or symbols.,Students assign a number too early instead of comparing the quantities in general.,3,5,single_choice,false
Mathematical Reasoning,Patterns & Algebra,Algebra,Missing values,Tests finding the unknown number that makes a statement or diagram true.,Students apply the operation instead of its inverse when working back to the unknown.,2,4,single_choice,false
Mathematical Reasoning,Patterns & Algebra,Algebra,Equations,Tests solving simple equations and balancing both sides of a number sentence.,Students change one side of the equation without doing the same to the other.,2,4,single_choice,false
Mathematical Reasoning,Data,Tables & Graphs,Data tables,Tests reading comparing and combining values presented in tables.,Students read the correct row but the wrong column or ignore the table's units.,1,4,single_choice,false
Mathematical Reasoning,Data,Tables & Graphs,Column graphs,Tests reading and comparing values shown in column or bar graphs.,Students misread the scale when columns fall between labelled gridlines.,1,3,single_choice,true
Mathematical Reasoning,Data,Tables & Graphs,Line graphs,Tests interpreting trends and specific values on line graphs over time.,Students read the value at the wrong point or confuse the steepness of a line with its height.,2,4,single_choice,true
Mathematical Reasoning,Data,Tables & Graphs,Pie charts,Tests interpreting proportions and calculating quantities from sector graphs.,Students treat a sector's percentage as the actual quantity without using the total.,2,4,single_choice,true
Mathematical Reasoning,Data,Statistics,Averages,Tests calculating and reasoning with the mean of a data set including reverse problems.,Students forget that changing one value changes the total and recompute the mean incorrectly.,2,5,single_choice,false
Mathematical Reasoning,Chance,Probability,Probability,Tests describing and comparing the likelihood of events as fractions or in words.,Students count favourable outcomes but forget to count the total number of outcomes.,2,4,single_choice,false
Mathematical Reasoning,Problem Solving,Problem Solving Strategies,Systematic counting,Tests counting arrangements combinations or cases in an organised way.,Students list cases at random and either miss possibilities or count some twice.,3,5,single_choice,false
Mathematical Reasoning,Problem Solving,Problem Solving Strategies,Working backwards,Tests undoing a chain of operations from a final result to find the starting value.,Students apply the original operations forward instead of inverting them in reverse order.,3,5,single_choice,false
Mathematical Reasoning,Problem Solving,Problem Solving Strategies,Multi-step word problems,Tests combining several operations and pieces of information to solve a worded problem.,Students stop after an intermediate step and choose that partial answer.,3,5,single_choice,false
Thinking Skills,Critical Thinking,Argument Analysis,Identify conclusion,Tests locating the main claim an argument is trying to establish.,Students choose a reason or piece of evidence instead of the claim it supports.,2,4,single_choice,false
Thinking Skills,Critical Thinking,Argument Analysis,Identify reason,Tests finding the statement that is offered as support for the conclusion.,Students choose background information rather than a statement doing supporting work.,2,4,single_choice,false
Thinking Skills,Critical Thinking,Argument Analysis,Strengthen argument,Tests choosing the new statement that most supports the argument's conclusion.,Students choose a statement that merely repeats the conclusion instead of adding support.,3,5,single_choice,false
Thinking Skills,Critical Thinking,Argument Analysis,Weaken argument,Tests choosing the new statement that most undermines the argument's conclusion.,Students choose a statement that attacks the topic in general rather than the specific reasoning.,3,5,single_choice,false
Thinking Skills,Critical Thinking,Argument Analysis,Identify assumption,Tests finding the unstated idea the argument needs in order to work.,Students choose a stated reason instead of the missing link that is never said.,3,5,single_choice,false
Thinking Skills,Critical Thinking,Argument Analysis,Identify flaw,Tests spotting the mistake in reasoning that makes an argument unsound.,Students say the conclusion is false instead of explaining why the reasoning fails.,3,5,single_choice,false
Thinking Skills,Critical Thinking,Evidence & Reasoning,Evaluate evidence,Tests judging whether given evidence actually supports a claim and how strongly.,Students accept evidence that is related to the topic but does not bear on the claim.,3,5,single_choice,false
Thinking Skills,Critical Thinking,Evidence & Reasoning,Cause and effect,Tests distinguishing genuine causes from things that merely happen together.,Students assume that because two things occur together one must cause the other.,3,5,single_choice,false
Thinking Skills,Critical Thinking,Evidence & Reasoning,Drawing conclusions,Tests selecting the conclusion best supported by a set of given facts.,Students choose a conclusion that goes further than the facts allow.,2,5,single_choice,false
Thinking Skills,Deductive Logic,Deduction,Must be true,Tests identifying what necessarily follows from a set of statements.,Students choose what is probably true rather than what is guaranteed.,3,5,single_choice,false
Thinking Skills,Deductive Logic,Deduction,Cannot be true,Tests identifying which option contradicts the given statements.,Students reject an option that is merely unstated rather than actually impossible.,3,5,single_choice,false
Thinking Skills,Deductive Logic,Deduction,Conditional logic,Tests reasoning correctly with if-then statements and their consequences.,Students reverse the conditional and assume the converse must also hold.,3,5,single_choice,false
Thinking Skills,Deductive Logic,Deduction,Syllogisms,Tests combining two or more general statements to reach a valid conclusion.,Students let real-world knowledge override what the premises actually allow.,3,5,single_choice,false
Thinking Skills,Deductive Logic,Ordering & Sets,Ordering,Tests placing people or objects in sequence from a set of positional clues.,Students fix an order from the first clues and never test it against the later ones.,2,5,single_choice,false
Thinking Skills,Deductive Logic,Ordering & Sets,Ranking,Tests deducing relative rank such as fastest or tallest from comparative clues.,Students treat a relative clue as an exact position and over-commit early.,2,5,single_choice,false
Thinking Skills,Deductive Logic,Ordering & Sets,Set logic,Tests reasoning about membership and overlap between groups described in words.,Students assume all members of one group belong to another when only some do.,3,5,single_choice,false
Thinking Skills,Deductive Logic,Ordering & Sets,Venn reasoning,Tests reasoning about counts and regions where categories overlap.,Students double-count items that belong to more than one category.,3,5,single_choice,false
Thinking Skills,Deductive Logic,Truth Puzzles,Truth tellers and liars,Tests deducing who is honest and who is lying from their statements.,Students take one speaker's statement at face value instead of testing each possibility.,3,5,single_choice,false
Thinking Skills,Numerical Reasoning,Mathematical Analysis,Pattern recognition,Tests spotting the numeric rule linking terms in an unfamiliar sequence or array.,Students match the first two terms to a rule and never check it on the rest.,2,5,single_choice,false
Thinking Skills,Numerical Reasoning,Mathematical Analysis,Rule deduction,Tests working out the hidden operation a machine or code applies to inputs.,Students find a rule that fits one example and assume it fits all of them.,3,5,single_choice,false
Thinking Skills,Numerical Reasoning,Mathematical Analysis,Mathematical analysis,Tests multi-step numeric reasoning where the method must be devised not just applied.,Students grab the numbers and apply a familiar operation without modelling the situation.,3,5,single_choice,false
Thinking Skills,Numerical Reasoning,Mathematical Analysis,Table reasoning,Tests deducing missing information or conclusions from structured numeric tables.,Students answer from a single cell instead of cross-checking rows and totals.,3,5,single_choice,false
Thinking Skills,Numerical Reasoning,Mathematical Analysis,Data sufficiency,Tests judging whether the given information is enough to answer a question.,Students solve for one possible answer and assume that means the data is sufficient.,3,5,single_choice,false
Thinking Skills,Abstract & Spatial,Abstract Reasoning,Abstract sequences,Tests finding the rule in a sequence of shapes and choosing what comes next.,Students track only one feature such as shape and miss a second changing feature such as shading.,2,5,single_choice,true
Thinking Skills,Abstract & Spatial,Abstract Reasoning,Shape analogies,Tests applying the relationship between one pair of figures to a new figure.,Students choose a figure that resembles the example rather than one that follows the same rule.,3,5,single_choice,true
Thinking Skills,Abstract & Spatial,Abstract Reasoning,Code and symbol rules,Tests decoding how symbols map to properties of figures and applying the mapping.,Students match a symbol to the wrong property because two figures share several features.,3,5,single_choice,true
Thinking Skills,Abstract & Spatial,Spatial Reasoning,Rotation and reflection,Tests recognising a figure after it has been turned or mirrored.,Students accept a mirror image as a rotation of the original figure.,2,5,single_choice,true
Thinking Skills,Abstract & Spatial,Spatial Reasoning,Paper folding,Tests predicting hole positions or shapes when folded paper is punched and unfolded.,Students unfold only one fold and forget the holes duplicate across every fold line.,3,5,single_choice,true
Thinking Skills,Abstract & Spatial,Spatial Reasoning,3D views,Tests matching solids to their views from the top front or side and to their nets.,Students forget that blocks hidden behind others still appear in a different view.,3,5,single_choice,true
Thinking Skills,Abstract & Spatial,Spatial Reasoning,Spatial reasoning,Tests general visualisation such as assembling pieces or tracking positions in space.,Students rely on gut impression instead of checking each option against the figure.,2,5,single_choice,true
Writing,Written Expression,Imaginative Writing,Narrative,Tests crafting an engaging story with structure character and controlled language.,Students retell events without a complication or resolution so the story has no shape.,2,5,extended_response,false
Writing,Written Expression,Imaginative Writing,Description,Tests building a vivid picture of a person place or moment using precise sensory detail.,Students list adjectives instead of selecting a few strong details that create a mood.,2,5,extended_response,false
Writing,Written Expression,Imaginative Writing,Diary entry,Tests writing a reflective first-person entry with authentic voice and feeling.,Students recount the day's events without showing the writer's private thoughts and reactions.,2,5,extended_response,false
Writing,Written Expression,Imaginative Writing,Recount,Tests retelling an experience in clear sequence with personal comment and detail.,Students chain events with then-and-then linking instead of varying pace and sentence openers.,2,5,extended_response,false
Writing,Written Expression,Persuasive & Discursive Writing,Persuasive,Tests arguing a clear position with organised reasons and persuasive techniques.,Students state opinions repeatedly instead of developing each reason with evidence or examples.,2,5,extended_response,false
Writing,Written Expression,Persuasive & Discursive Writing,Discursive,Tests exploring more than one side of an issue in a balanced and thoughtful way.,Students slip into one-sided persuasion instead of genuinely weighing both perspectives.,2,5,extended_response,false
Writing,Written Expression,Persuasive & Discursive Writing,Speech,Tests writing a spoken address with audience awareness and rhetorical devices.,Students write an essay with no sense of a listening audience or spoken rhythm.,2,5,extended_response,false
Writing,Written Expression,Persuasive & Discursive Writing,Letter,Tests writing a letter with appropriate form register and purpose for its recipient.,Students ignore the recipient and purpose so the tone and content do not fit the task.,2,5,extended_response,false
Writing,Written Expression,Informative Writing,Informative,Tests explaining a topic clearly with organised facts and an objective tone.,Students drift into personal opinion instead of presenting organised information.,2,5,extended_response,false
Writing,Written Expression,Informative Writing,Newspaper report,Tests reporting an event with headline lead paragraph and factual detail in report style.,Students tell the event as a story instead of front-loading who what when and where.,2,5,extended_response,false
Writing,Written Expression,Informative Writing,Advice sheet,Tests giving clear practical guidance organised for a reader who needs help.,Students write vague general tips instead of specific actionable steps for the situation.,2,5,extended_response,false
Writing,Written Expression,Applied Writing,Hybrid stimulus response,Tests responding to an unusual stimulus by choosing and sustaining a fitting form and voice.,Students ignore the stimulus after the first line so the response could fit any prompt.,2,5,extended_response,true
